项目名称,住宅总套数,项目地址,开发单位,项目类型,设计单位,总建筑面积,施工单位,住宅建筑面积,监理单位
浦东新区三林环外区域PDP0-0901单元14-03地块,395,东至上南路、南至地块边界、西至东明路、北至东明路,上海东岸建工置业发展有限公司,征收安置住房,上海市建工设计研究总院有限公司,44160.51,上海建工二建集团有限公司,28887,上海市工程建设咨询监理有限公司
惠南镇东南社区16-05地块征收安置房项目,1122,东至健海路，南至16-06地块，西至观海路，北至16-04地块,上海东鉴房地产开发有限公司,征收安置住房,上海浦东新区规划建筑设计有限公司,156680.03,上海浦东新区建设（集团）有限公司,115900,上海嘉豪建设监理有限公司
川沙新镇E04D-19地块征收安置房项目,1248,东至规划华州北路，南至E04D-21地块（川周公路绿化带），西至E04D-24地块（规划河道），北至E04D-17、E04D-18地块和规划纬九路,上海国际旅游度假区川沙开发建设有限公司,征收安置住房,上海市浦东新区规划建筑设计有限公司,136695.23,上海建工四建集团有限公司,102200,上海智通建设发展股份有限公司
航头镇PDS1-0205单元11-03地块征收安置房项目,460,东至圣中河路，西至11-01地块，南至飞云桥路，北至11-02地块,上海住保航程置业有限公司,征收安置住房,上海浦东新区规划建筑设计有限公司,50217.4,上海建工二建集团有限公司,38402,上海万国建设工程项目管理有限公司
航头镇PDS1-0205单元 09-03地块征收安置房项目,255,东至圣中河路，西至09-02地块，南至飞云阁路，北至09-02地块,上海住保航程置业有限公司,征收安置住房,上海万联建筑设计有限公司,28066.18,上海建工二建集团有限公司,18972.98,上海万国建设工程项目管理有限公司
浦东新区高行镇东沟、界路“城中村”改造项目（A-4地块）,952,东至A-7地块，南至A-5地块，西至浦东北路，北至A-1地块、A-3地块和A-6地块。,上海瑞行东岸置业有限公司,征收安置住房,上海众鑫建筑设计研究院有限公司,104816.33,上海城建市政工程（集团）有限公司,71800,上海城建工程咨询有限公司
大团镇NH020201单元16-02地块,530,北至永晨路，东至墩祥路，南至16-03地块，西至16-01地块,上海东旭置业有限公司,征收安置住房,上海中森建筑与工程设计顾问有限公司,58765.37,上海市浦东新区建设（集团）有限公司,44192,上海浦东新区建设监理有限公司
北蔡鹏海社区Z000901单元09(a)-08地块动迁安置房项目,352,东至莲荣陆，西至09（a)-06地块，南至陈春东路，北至09（a)-02地块,上海浦东地产有限公司,征收安置住房,上海市建工设计 研究总院有限公司,13983,上海建工七建集团有限公司,30313.74,上海浦东新区建设监理有限公司
北蔡御桥社区Z000901单元14(b)-07地块动迁安置房项目,1008,东至14-11地块，西至莲林路，南至莲振路，北至14-10地块,上海浦东地产有限公司,征收安置住房,上海城乡建筑设计院有限公司,103169.34,江苏南通二建集团有限公司,82798.32,上海智达工程顾问有限公司
七宝社区MHP0-0105单元（九星地区）05-08地块,784,东至用地红线，南至用地红线，西至蒲汇塘，北至漕宝路,上海城协房地产有限公司,征收安置住房,上海天华建筑设计有限公司,99000,上海建工二建集团有限公司,56758,上海天佑工程咨询有限公司
